Unnamed: 0,Sentence #,Word,POS,Tag
0,1.0,Thousands,NNS,O
1,1.0,of,IN,O
2,1.0,demonstrators,NNS,O
3,1.0,have,VBP,O
4,1.0,marched,VBN,O
5,1.0,through,IN,O
6,1.0,London,NNP,B-geo
7,1.0,to,TO,O
8,1.0,protest,VB,O
9,1.0,the,DT,O
10,1.0,war,NN,O
11,1.0,in,IN,O
12,1.0,Iraq,NNP,B-geo
13,1.0,and,CC,O
14,1.0,demand,VB,O
15,1.0,the,DT,O
16,1.0,withdrawal,NN,O
17,1.0,of,IN,O
18,1.0,British,JJ,B-gpe
19,1.0,troops,NNS,O
20,1.0,from,IN,O
21,1.0,that,DT,O
22,1.0,country,NN,O
23,1.0,.,.,O
24,2.0,Families,NNS,O
25,2.0,of,IN,O
26,2.0,soldiers,NNS,O
27,2.0,killed,VBN,O
28,2.0,in,IN,O
29,2.0,the,DT,O
30,2.0,conflict,NN,O
31,2.0,joined,VBD,O
32,2.0,the,DT,O
33,2.0,protesters,NNS,O
34,2.0,who,WP,O
35,2.0,carried,VBD,O
36,2.0,banners,NNS,O
37,2.0,with,IN,O
38,2.0,such,JJ,O
39,2.0,slogans,NNS,O
40,2.0,as,IN,O
41,2.0,"""",``,O
42,2.0,Bush,NNP,B-per
43,2.0,Number,NN,O
44,2.0,One,CD,O
45,2.0,Terrorist,NN,O
46,2.0,"""",``,O
47,2.0,and,CC,O
48,2.0,"""",``,O
49,2.0,Stop,VB,O
50,2.0,the,DT,O
51,2.0,Bombings,NNS,O
52,2.0,.,.,O
53,2.0,"""",``,O
54,3.0,They,PRP,O
55,3.0,marched,VBD,O
56,3.0,from,IN,O
57,3.0,the,DT,O
58,3.0,Houses,NNS,O
59,3.0,of,IN,O
60,3.0,Parliament,NN,O
61,3.0,to,TO,O
62,3.0,a,DT,O
63,3.0,rally,NN,O
64,3.0,in,IN,O
65,3.0,Hyde,NNP,B-geo
66,3.0,Park,NNP,I-geo
67,3.0,.,.,O
68,4.0,Police,NNS,O
69,4.0,put,VBD,O
70,4.0,the,DT,O
71,4.0,number,NN,O
72,4.0,of,IN,O
73,4.0,marchers,NNS,O
74,4.0,at,IN,O
75,4.0,"10,000",CD,O
76,4.0,while,IN,O
77,4.0,organizers,NNS,O
78,4.0,claimed,VBD,O
79,4.0,it,PRP,O
80,4.0,was,VBD,O
81,4.0,"1,00,000",CD,O
82,4.0,.,.,O
83,5.0,The,DT,O
84,5.0,protest,NN,O
85,5.0,comes,VBZ,O
86,5.0,on,IN,O
87,5.0,the,DT,O
88,5.0,eve,NN,O
89,5.0,of,IN,O
90,5.0,the,DT,O
91,5.0,annual,JJ,O
92,5.0,conference,NN,O
93,5.0,of,IN,O
94,5.0,Britain,NNP,B-geo
95,5.0,'s,POS,O
96,5.0,ruling,VBG,O
97,5.0,Labor,NNP,B-org
98,5.0,Party,NNP,I-org
99,5.0,in,IN,O
100,5.0,the,DT,O
101,5.0,southern,JJ,O
102,5.0,English,JJ,B-gpe
103,5.0,seaside,NN,O
104,5.0,resort,NN,O
105,5.0,of,IN,O
106,5.0,Brighton,NNP,B-geo
107,5.0,.,.,O
108,6.0,The,DT,O
109,6.0,party,NN,O
110,6.0,is,VBZ,O
111,6.0,divided,VBN,O
112,6.0,over,IN,O
113,6.0,Britain,NNP,B-gpe
114,6.0,'s,POS,O
115,6.0,participation,NN,O
116,6.0,in,IN,O
117,6.0,the,DT,O
118,6.0,Iraq,NNP,B-geo
119,6.0,conflict,NN,O
120,6.0,and,CC,O
121,6.0,the,DT,O
122,6.0,continued,JJ,O
123,6.0,deployment,NN,O
124,6.0,of,IN,O
125,6.0,"8,500",CD,O
126,6.0,British,JJ,B-gpe
127,6.0,troops,NNS,O
128,6.0,in,IN,O
129,6.0,that,DT,O
130,6.0,country,NN,O
131,6.0,.,.,O
132,7.0,The,DT,O
133,7.0,London,NNP,B-geo
134,7.0,march,NN,O
135,7.0,came,VBD,O
136,7.0,ahead,RB,O
137,7.0,of,IN,O
138,7.0,anti-war,JJ,O
139,7.0,protests,NNS,O
140,7.0,today,NN,O
141,7.0,in,IN,O
142,7.0,other,JJ,O
143,7.0,cities,NNS,O
144,7.0,",",",",O
145,7.0,including,VBG,O
146,7.0,Rome,NNP,B-geo
147,7.0,",",",",O
148,7.0,Paris,NNP,B-geo
149,7.0,",",",",O
150,7.0,and,CC,O
151,7.0,Madrid,NNP,B-geo
152,7.0,.,.,O
153,8.0,The,DT,O
154,8.0,International,NNP,B-org
155,8.0,Atomic,NNP,I-org
156,8.0,Energy,NNP,I-org
157,8.0,Agency,NNP,I-org
158,8.0,is,VBZ,O
159,8.0,to,TO,O
160,8.0,hold,VB,O
161,8.0,second,JJ,O
162,8.0,day,NN,O
163,8.0,of,IN,O
164,8.0,talks,NNS,O
165,8.0,in,IN,O
166,8.0,Vienna,NNP,B-geo
167,8.0,Wednesday,NNP,B-tim
168,8.0,on,IN,O
169,8.0,how,WRB,O
170,8.0,to,TO,O
