rating,,uniqueID,drugName,condition,review,rating,date,usefulCount
1,47336,232258,Belsomra,Insomnia,"""I started Belsomra 15mg about 3 wks ago. It has not worked for me at all. After taking the medication earlier (7:45-8:00 pm) and spending several sleepless nights my Dr increased 
my dosage to 1 &amp; 1/2 tablets. The last few nights I have been up past 4am. Even when I finally dose off I wake up at least once an hour. I will call my Dr in the morning, I&#039;ll be awake. Exhausted!  But awake!""",1,10-Jul-17,28
1,41429,31475,Miconazole,Vaginal Yeast Infection,"""Okay so I was having some symptoms of a yeast infection, but there was barely ANY itching/burning sensation at all. When I took the medicine at first it felt like nothing. But like 45 seconds later, I felt a horrible burning feeling inside my fucking vagina. I started crying because I thought my vagina was going to die from an allergic reaction. DON&#039;T get this product. I took the 3 day treatment western family brand, and it was hell on earth. I suggest you get a different medication for your yeast infection.""",1,7-Jun-16,4
1,114929,15704,Ethinyl estradiol / norethindrone,Birth Control,"""I started taking the this pill and after a little over a month I noticed I was getting highly depressed and high anxiety.  I haven&#039;t changed anything in my life. I just stopped recently in hopes that this stops it""",1,20-Oct-16,11
1,109151,40272,Savella,ibromyalgia,"""Caused suicidal thoughts.""",1,31-Aug-13,47
1,130901,48056,Cariprazine,Bipolar Disorde,"""Started taking it today, 1.5mg, hour later headache,  blurred vision. Dizzness, hate it""",1,8-Jul-16,11
1,68436,151573,Chantix,Smoking Cessation,"""Ok- I have tried many things to quit smoking  and patches helped me a lot! However even with them I have failed. One thing left to try was chantix, and I was thinking it will make a huge difference! (It did for my friend)!
I have been for 3 weeks on Chantix and had no desire to quit smoking whatsoever! I smoked a pack and half even the third week! I had vivid dreams (but I always do) and I had constipation (which I never have)! No other side effect /that I was aware off! And really my smoking pleasure was the same! 
I stopped taking the pill! I felt I gave it a long enough try! I am sure it works for some people but it did nothing for me! And I was scared of the damage it was doing to my body! 

Now I am smoke free-cold turkey!""",1,10-Oct-15,9
1,117117,209214,Pentazocine,Pain,"""Scary medicine given for migraine, sent home. Had hallucinations bad. """,1,10-Jan-13,4
1,90372,124443,Skyla,Birth Control,"""I had the Skyla inserted Friday and removed it the following Monday. I had no cramps or pain afterwards but I had chills, diarrhea, dizziness, I was unbearably nauseous and my anxiety was off the charts.  It was one of the worst weekends of my life. 

I really wanted it to work for me but it didn&#039;t.""",1,5-Oct-15,1
1,36845,54585,Bupropion / naltrexone,Obesity,"""I took it for five months every day , I did not lose a pound , it just doesn&#039;t t work for me :(""",1,30-May-17,0
1,155572,174444,Tiotropium,"COPD, Maintenance","""Was prescribed Spiriva when ill with bronchitis (never prescribed a maintenance inhaler although have emphysema for 2 years-only used rescue inhaler). After 45 days of use experienced moderate to extreme coughing that did not produce mucus, dry mouth, cloudy urine, wheezing as though lungs were filled with cotton, heartburn, flushing, chills, shortness of breath. Still had to use rescue inhaler 3-4 times per day. Stopped use, all symptoms ceased. Will ask pulmonologist for another brand.  Everyone&#039;s tolerance is different.""",1,26-Jun-15,77
1,121758,31545,Miconazole,Vaginal Yeast Infection,"""I bought this for a previous yeast infection and experienced the same results. Unbearable itching and burning. I have another yeast infection in the early stages and thought maybe catching it early will result in less severe symptoms from the Monistat. I was very wrong. Within a minute of applying and inserting the cream, I experienced that unbearable itching and burning again. I thought maybe it was a temporary feeling, so I toughed it out for a few minutes. No relief at all, so I got up and used the bathroom. Then sat in the shower until I could manage to get it all out. Monistat does not work at all. If anything, it&#039;s giving you a taste of an even worse pain so maybe the yeast infection doesn&#039;t seem as terrible. 0/10 would buy again""",1,13-Mar-16,5
1,72931,162171,Denosumab,Osteoporosis,"""had 3 shots shot #1. the provider knew nothing other than she was supposed to administer the shot. #2. did explain some what info of the shot. #3. did not know where on the arm for the injection......Should have not taken #3. several days after each shot sweated at night,. the bone between knee and hip hurt tremendous for several days, had heasdaches......it has been 2 years since last prolia shot.  MAYBE THINGS WOULD HAVE BEEN DIFFERENT IF ALL HAD STARTED CORRECTLY.  EXPLAIN, EXPLAIN IS IMPORTANT FOR ADMINISTING ANY DRUGS TO PATIENTS""",1,8-Oct-16,97
1,861,186252,Desvenlafaxine,Depression,"""Depression has got worse causing me to miss work. Have been on 20 different antidepressants over 7 years. Pristiq didn&#039;t help at all for me, headaches, foggy and nausea. Also shaky at times.""",1,4-Apr-13,35
1,148044,54915,Bupropion / naltrexone,Obesity,"""My husband was on Contrave for 2 weeks, he lost 18 lbs, but he also lost his appetite and ended up in the Emergency Room.  I don&#039;t care how obese my husband gets; we both agree he will NOT be taking this medication EVER AGAIN!!!  Screw all pharmaceutical companies!!!""",1,25-Nov-16,40
1,138144,78488,Hydroxyprogesterone,Premature Lab,"""I was told that many women have taken this and it works. It was my first trying it at 18 weeks. My ob told me it helps to make you stay pregnant longer. I took it Monday. The following Monday came, I ended up in the hospital with a rupture membrane. I lost my baby Tuesday.  There really isn&#039;t any data backing it up, but please make sure you check your cervix before taking the shot. It sad to say but it was my only one shot. I regret it.""",1,28-Oct-16,16
1,97911,25196,Diovan,High Blood Pressure,"""Taking Diovan for 160 mg for 3 months with no noticeable side effects, than had what the doctor refers to as an orthostatic syneopal episode. I passed out.  Was out of work for 4 weeks.  Doctor increased dose to 320 and nearly all of the side effects listed for this medication has presented itself.  The worst being muscle weakness and cramping. """,1,24-Jun-09,81
1,138264,197792,Sulfazine,Rheumatoid Arthritis,"""Nasty stuff.  First had extreme tiredness, then stomach pain, diarrhea, headache, fever, chills, rash.  Went to emergency. Was on it total of 3-1/2 wks.   Stopped it two days ago, still not well. Maybe go back to methotrexate.""",1,26-Feb-17,21
1,154741,40981,Acetaminophen / oxycodone,Pain,"""After my Shoulder reconstruction  I was given oxycodone 5/325 tramadol 50mg and lorzone 750mg all to take 4x a day. The oxy gave me a headache and didn&#039;t touch the pain nor even take the edge off. Didn&#039;t like how I felt. So 4 days after surgery I stopped taking it. Stayed with the tramadol and 1/3 pill of lorzone 3x a day and started taking extra strength tylenol. Which is very effective.""",1,11-Dec-16,8
1,88811,162070,Ciprofloxacin,Kidney Infections,"""I am taking this medicine for a bladder infection which I have quite often. it wasn&#039;t prescribed to me by my doctor who usually prescribes (Pinamox) which by the way gives me gives zero side effects. Straight away after I took the first dose which was 500mg I was feeling very dizzy and nauseous. I thought I could put up with that feeling but I&#039;m now on day2, I could barely get out of bed from nausea in the morning but managed to get myself together but felt all day like I was about to collapse with severe joint pains and headache which got even worse. I went to bed but when I did it felt like I was literally drunk and kept vomiting all night. I won&#039;t  take the next dose or ever take this medicine again as it feels like taking poison.""",1,17-Oct-16,13
1,99318,89299,Celexa,Anxiety and Stress,"""Celexa has alot of ingredients that you do not need. Lexapro is cleaner more potent form of celexa. Celexa is not ment for anxiety. I am seeing alot of placebo effects on here. I swear alot of these comments are from the celexa company""",1,14-Dec-15,45
1,153155,33242,Microgestin Fe 1 / 20,Birth Control,"""I have been on this birth Control since September of 2016 and it is now February of 2017 and I am having to switch birth controls. I was having heavy bleeding in my periods and severe cramping. My skin was relatively perfect. I never got acne, besides maybe 1 zit every month or so. When I first started this birth Control, I started to get some acne. It wasn&#039;t anything to alarming, because I thought it was normal and it would clear up quickly and would be done. But this acne did not clear up. Over the months, my skin has gotten to the point where I don&#039;t want to leave my house without face makeup to cover up my acne and scarring. This BC has broken me out severely. My bleeding has reduced some but my cramps are still severe on most periods""",1,3-Feb-17,0
1,15084,11079,Drospirenone / ethinyl estradiol / levomefolate calcium,Birth Control,"""I took this for only two weeks for menorrhagia and stopped immediately as soon as I realized I was having severe side effects. I had low blood pressure all my life (and I have taken other bcps before with no problem) and this pill spiked my blood pressure, and it never went all the way back down again. It also permanently changed my skin. My face has permanent uneven blotchy dark spots now that get worse whenever I get a tan. It has been over three years since I took this and I no longer take any hormones at all. I miss my nice even skin tone that would tan well so much!  I wrote this review to warn others. Read the insert! This bcp has a way higher risk of thrombosis and stroke than other pills! Monitor your blood pressure! Blotchy skin is permanent!""",1,13-Aug-17,0
1,38638,31342,Miconazole,Vaginal Yeast Infection,"""Just get the pill form to save yourself from extra itching and burning... It&#039;s gone in 24 hours. If you don&#039;t have a Gyno then go to an urgent care they&#039;ll send it into the pharmacy for you. But if you do dare to try monitstat prepare your insides to itch even worse in approximately 10-15 after taking it but keep it in there... The itchiness simmered down in about an hour it&#039;s not too horrible anymore but defiantly don&#039;t think it&#039;s worth taking, especially when the pill form is cheaper and works faster""",1,9-Jul-16,7
1,6592,68061,Plan B,Emergency Contraception,"""I took the plan B pill 10 hours after having unprotected sex and one day before I was suppose to ovulate. I was taking ovulation tests so I know I ovulated the day after taking the pill, it did not prevent me from ovulating and I am now pregnant.""",1,8-Jan-16,5
1,105501,31640,Miconazole,Vaginal Yeast Infection,"""OMG, I need a fire hose. I have been in pain for for 3 &amp;  1/2 hours now. Just took a shower at midnight trying to get as much of this crap off and out of me as I can. I have my 1st infection in years. I am on an antibiotic for kidney stones and a stent I had placed last week.I&#039;d rather keep the yeast infection. I tried the 1 day treatment BC I never get yeast infections. I wish the burning and itching would just stop. It was much more bearable b4 I took used this . don&#039;t try it lady&#039;s . just call the Dr and get the stuff that takes 7-10 days.""",1,29-Dec-15,1
1,68763,20483,Afrin,Nasal Congestion,"""Just like everyone else, can&#039;t get the cap off. Ridiculous. We&#039;ll see if it clears me up. I will probably go get something else since this just seems like a mess""",1,20-Feb-17,7
1,135589,163415,Methylphenidate,ADHD,"""My 4yr old son has Autism/ADHD/OCD. After coming off of Risperidone my sons&#039; Neurologist wanted to try my son on Quillivant XR. Our Pharmacy had to special order this med due to there was nobody else in this county that takes it. The 1st dose of this med that my son took he went WILD!!! He got violent with us, and just refused to eat ANYTHING, he was also up for 22hr straight! He only had 2 doses of this med (day 1 &amp; 2) then I had to call his Dr and to have him taken off the med. We ended up going back on Risperidone and Guanfacine. Once I stopped giving my son the Quillivant XR med he started acting like his old self again.""",1,15-Sep-16,8
1,22765,182664,Cymbalta,Chronic Pain,"""I suffer from chronic pain, depression and anxiety for the past 10 years and I&#039;m 30.  Football ruined my life, but cymbalta has made it worse.  Not only did I NOT receive any benefit from cymbalta but I gave it the a serious 2 month try and I&#039;m not spending 90% of my time withdrawing from it.  I cannot imagine if I was on this a year, let alone ten.  If this medicine helps you, I would weigh the benefits seriously- because either you&#039;re going to the grave with this medicine or you&#039;re going to have to feel the &quot;benefits&quot; of coming off of this poison. Beware.. because no doctor will tell you these things.  Worse than 2 years of clonazepam, alcohol, or opiates... no joke.  Hope this helps someone!""",1,29-Aug-17,46
1,76362,126037,Viibryd,Depression,"""This medicine was a disaster for me. I was doing fine on Celexa, but my primary doctor started me on Viibryd. I had crying spells and was short tempered and unpleasant. So I saw another doctor and he advised that I get off - but phasing out gradually. It took me months to get back to normal. It totally ruined a European trip I had been looking forward to during the cold long winter of 2012/13. Needless to say, I dropped this doctor.""",1,24-Sep-13,25
1,72416,166232,Levonorgestrel,Birth Control,"""I was going to get this procedure done!!!!! Thanks to reading everyone&#039;s comments I am now not. So now I have  one still in a box that it came in.""",1,18-Jan-17,1
1,56830,114367,Tacrolimus,Atopic Dermatitis,"""A terrible burning sensation on the skin for several hours after using it. Stopped using it after 2 applications due to this severe side effect. Seek out alternative therapies""",1,16-Mar-15,14
1,12911,98139,Nexplanon,Birth Control,"""I got my nexplanon put in November 21,2013. I absolutly hate it. when I first got it I didn&#039;t bleed for about a week, then it started. I have a period everyday since I&#039;ve had maybe once a month it will stop. I was 105 lbs when I got it and now I am almost 200. I hate having to buy pads and tampons every week because of bleeding so much. I&#039;m really hoping that I can find something else that won&#039;t make me bleed everyday. I took the pills and it made me moody really bad. It might work on some people but to others it makes them feel terrible.""",1,25-Jul-15,1
1,87936,201224,Zoloft,Panic Disorde,"""After two months of being on this medication, I had to wean off. I just couldn&#039;t take it anymore. You feel absolutely horrible on this stuff. Severe brain fog, unease, restless, extremely affected my cognitive abilities, etc. This was the worst SSRI I have ever taken. It did not work for me, however, it might work for you. After two months of being off the medication, the brain fog and cognitive abilities are still present, this did not happen on other SSRIs.""",1,26-Mar-16,8
1,111148,194502,Atorvastatin,Prevention of Cardiovascular Disease,"""4 yrs of pure hell, bladder damage, leaky heart valve ,damage to joints,eyes,liver,stopped taking it getting better every day""",1,13-Aug-16,26
1,89165,221420,Dextromethorphan,Cough,"""It helps with the cough but gave me uncontrollable diarrhea. I wouldn&#039;t recommend this product""",1,15-Feb-16,13
1,14890,184559,Hydroxyzine,Pain,"""I was given vistairl for pain soon after a neck fusion.  The surgeon refused to believe that I was in such severe pain after he &quot;fixed&quot; me.  Within hours of taking the medication I was in a deep fog.  I could not concentrate or think clearly.  This medicine also made my legs ache and I could not sleep until this medication was out of my system.""",1,2-Dec-09,50
1,68236,71591,Tramadol,Pain,"""I have been taking this pill for 3 years only 2 pills a day it doesn&#039;t do any thing for pain I take just to feel normal and do stuff I just found out  I&#039;m 3 weeks pregnant I&#039;m trying to get off it. Maannn it&#039;s so hard, feeling no energy, sick, sneezing, every inch in my body hurt specially my legs, my heart beating crazy and mix of pregnancy/ withdrawal depression I wish I never start it it&#039;s a nasty pill stay away from it .""",1,18-Jul-17,10
1,90852,121220,Venlafaxine,Depression,"""thought it was a miracle drug at first until I ceased feeling emotions, and I was only ever on a low dose of 75mg. Been trying to ween off this drug for 3 months now and I had brain zaps (feels like an electrical impulse going through my head), no appetite, diarrhea, head aches, dysphoria, aches &amp; pains throughout my muscles and joints, dissociation (feels like I&#039;m watching myself watch paint dry), tremors, and sweats. I feel hopeless and like this drug has taken my life from me for the past few months. I would NEVER recommend this to anyone ever.""",1,10-Sep-16,23
1,83151,59891,NuvaRing,Birth Control,"""I was on the Nuva Ring for approx 9 months, and feel so good that I&#039;ve cleansed myself of it.. I became depressed to the point of wanting to place myself in an institution at times, had a massive fight with loved ones, put on 8kg, lost my passion for life, was always tired, needing to eat ALL the time... Need I go on?So I went back on the pill for 2 months following, before my sister in law convinced me to try other contraceptive methods such as condoms with my supportive (yet freaked out at first by the idea) fianc&eacute;. For 2 mnth I thought I was going to lose it with anxiety from &#039;coming down&#039;, but I am pleased to report I&#039;ve never felt better in my life, and my partner doesn&#039;t even know he&#039;s wearing a condom! He literally has to check!""",1,22-Sep-15,9
1,64943,185835,Saxenda,Obesity,""":( if your insurance Covers Saxenda , please ADD their name to your posting.
I would love to take Saxenda however my Insurance carrier does not cover this drug. Open Season is almost over-closed.  I have time to choose another carrier. please help!""",1,30-Nov-15,5
1,141524,25650,Nabumetone,Rheumatoid Arthritis,"""It doesn&#039;t touch the pain levels I experience.""",1,26-Mar-10,15
1,158650,150485,Sulfamethoxazole / trimethoprim,Urinary Tract Infection,"""I called the doctors due to weird symptoms after my 5th day of taking this medication this concludes (chills, naseous, diareah, headache, and even numbness throughout my entire face , lips and mouth, and the shakes) the pain I get from my uti&#039;s (burning sensation, hard to pee and hurts) I felt like bactrim made my pains worse the burning was 100x worse ! I felt as If I was dying!!!!  I even had severe insomnia up until 6-7 am! Called the doctors and they said I should have called when the headaches and shakes came a long! Cut me off it immediately and prescribed me macrobid instead, hope it helps !!""",1,16-Aug-16,24
1,65714,19466,Pregabalin,Generalized Anxiety Disorde,"""It didn&#039;t work.""",1,8-Jul-14,36
1,156647,25424,Finasteride,Androgenetic Alopecia,"""I&#039;m 24 with mild receding hair, still have a full head of hair but beginning to recede on the crown and round temples.

Started Propecia on the 23/12/16 had no side affects up until last night, at no point did I look up reviews of side effects of the drug as I did not want other people&#039;s experiences to play on my mind. Last night, noticed a tender pain in my testicules and it&#039;s continued throughout the whole of today, I am now stopping this drug immediately. I&#039;ve spent the whole of day with aggressive pain the mentioned above area, been projectile vomiting and had diarrhoea. This drug has not worked for me and by reading others comments I will certainly review people&#039;s opinions rather than trusting there findings.""",1,28-Dec-16,13
1,138305,162814,Cefdinir,Bronchitis,"""I took this medication for a respiratory infection.  It gave me severe, relentless diarrhea that I am still suffering from a year later.  I have been hospitalized numerous times from it.  It has completely disabled me.""",1,19-Oct-15,3
1,11830,86714,Glycerin,Constipation,"""It did not work at all. One hour and a half later I was able to pass it but with nothing else. Very confusing as I have used before about a year ago and it worked great.""",1,8-Jun-16,3
1,140544,179134,Olanzapine,Bipolar Disorde,"""I gained 10 lbs in under 1 week, which sets a speed record among the weight-gain meds I&#039;ve taken.  Since that pushed me up to the pre-diabetic border, my psychiatrist pulled me off of it ASAP - not to mention that when you&#039;re severely depressed, how is super chunking up supposed to make you feel better no matter how well the med works?  1 month &amp; I would have been up 40 lbs!  I felt no other side effects, nor any positive effects, but 1 week probably wasn&#039;t long enough for it to make a difference on my mood - only my rear end.""",1,22-Apr-17,9
1,117667,95339,Otezla,Plaque Psoriasis,"""I&#039;m five days in and had to stop taking Otezla due to the horrible side effect from this drug. I&#039;m having every side effects you could think of. Nausea, diarrhea, headache, vomiting, pain in my upper stomach so bad it was unbearable and chest pains. I haven&#039;t spoke to my  rheumatologist yet but I choose on my own to stop taking this drug. Nothing helped for pain and I couldn&#039;t keep any good or liquids down. Joint pain as well as back pains started getting worse.""",1,29-Aug-17,5
1,9972,101834,Terbinafine,"Onychomycosis, Toenail","""Part 2) Still frustrated by toenail fungus, in June 2017, I asked a foot doctor to prescribe generic Lamisil. Less than a week after I started taking it, I started getting fevers &amp; chills, my urine turned dark, I had a loss of appetite, trouble sleeping and felt itchy all over. I felt terrible but hoped I could get through it by taking Advil for the fevers/chills and Benydryl for the itching. Then I got a rash on my upper body again. None of the other side effects were going away. I discontinued use. Lab work showed my liver count was high. After a few days off Terbinafine all negative side effects have stopped. I will go back for lab work again next week and expect it to show my liver function to be normal.  Use caution with this drug!""",1,21-Jul-17,12
1,103472,172381,Clonazepam,Benzodiazepine Withdrawal,"""benzos will burn your nervous system and neural circuits, dont be stupid this drug is just a mask to the problem, once you get off it. if you have a panic disorder, your panic attacks will explode during the withdrawal, if you find hope in this drug, I seriously recommend you rethink your life decisions before taking it any further, I had bad experience, it took only 1 benzo for me to realize this isnt the cure. To those people suffering panic attacks, you have to conquer it naturally and with SSRI meds, I wouldn&#039;t take the time to come here and write this if I didnt want to help anyone, benzos are like any other illicit drug, they blind you and make you think you just took 5 steps forward, when you come off it you are 100 steps back.GL""",1,25-Nov-16,26
1,117993,187872,Etonogestrel,Birth Control,"""DON&#039;T GET IT!!!! It is horrible. I had it put in 8 weeks after my daughter was born, I have had it in for 5 weeks and can&#039;t get it out soon enough. I&#039;m actually on the phone now scheduling it. My mood swings and anxiety have been unmanageable. I feel bad for my husband who&#039;s getting the brunt of it, it&#039;s uncontrollable. I don&#039;t feel like myself. I also have been bleeding non stop for over 3 weeks and have been gaining weight in my stomach and never had these  issues before with birth control. I hate how I feel and would not recommend this to anyone.""",1,3-Oct-17,8
1,126670,143684,Etonogestrel,Birth Control,"""I absolutely hated it. I had it I since the beginning of July and my period hasn&#039;t stopped since and it is now December. Its really light though and kind of looks like old blood. It&#039;s a good form of birth control alright because who wants to have sex on their period! Horrible""",1,12-Dec-16,8
1,57645,175275,Mucinex,Cough,"""This medicine made me sick. I took one 12 hour slow release tablet with a large glass of water and it&#039;s a week later and I still feel nauseated.  """,1,11-Apr-11,26
1,85592,197867,Perindopril,High Blood Pressure,"""Started Coversyl 2.5mg after my readings would show an average 150/95.
I took the first dose in the morning and at night when going to bed I got a tachychardia which lasted 3 hours. 150bpm average and it wouldn&#039;t stop. Very scary.
The first 10 days were horrible, dizziness, lightheaded, hypertension crisis, you name it. Diastolic number went down but not the systolic one. Average reading 145/75.
Experienced anxiety and panic disorder.
Went to the emergencies because I was feeling very unwell. They increased the dose to Coversyl 5mg. It was even worse and I went to a cardiologist afterwards who switched me to a beta blocker.""",1,6-Mar-17,5
1,124885,42139,Dexilant,GERD,"""This stuff is really awful. 
Within a week tore my bicep,
Hands felt like cerebral palsy set in. 
Absolutely the worst medicine I have ever taken!!!
Beware beware beware!!!""",1,28-Jan-17,17
1,61225,213355,Nuvigil,Narcolepsy,"""After years of misery; then numerous tests by neurologists and sleep studies I was finally diagnosed with severe sleep apnea and a form of narcolepsy in 2005.  I was prescribed Provigil, 200 mg twice a day and given the okay to take another 1/2 tab if necessary.  It was a Godsend and changed my life for the better.  However, now Doctor wants me to &quot;try&quot; Nuvigil and gave me samples and prescription.  It DOES NOT WORK for me but insurance company is demanding I stay on Nuvigil. Provigil will cost $1000 pr/mo! """,1,16-Nov-10,14
1,95152,34419,Bystolic,High Blood Pressure,"""I have been on it for a week.  Presure went up to 160/100, have diarrhea and stomach does not feel good.  Will be calling the doctor.""",1,8-Mar-10,29
1,100416,32264,Lisinopril,High Blood Pressure,"""I have been taking this horrible drug for about 9 months.  I slowly began to feel more fatigued until I had extreme fatigue where I could not function at work and was sleeping up to 18 hours per day.  I was constantly lightheaded and it got to where I did not want to stand at all.  I was also nauseated, had extreme brain fog, and became abnormally moody because if this.  I had no time left at work and will probably have to take a warning because of the time I did have off.  I figured it out without help from my doctor.  They would not believe me so I took myself off and I am trying lifestyle changes, fish oil, and baby aspirin.  I feel much better after only 3 days off this medication.  I would never take this again.""",1,26-Nov-17,2
1,150266,97872,Nexplanon,Birth Control,"""Every single negative and terrible side effect you will get if you take this birth control. I am 5&#039;5 usually weigh 100-105. I took this for 7 months gained 20 pounds. Doesn&#039;t hurt to get inserted. The only good thing about this bc is that you don&#039;t have to remember to take a pill. I bloat, cry, bleed, cramp, and can&#039;t sleep everyday. When i first started i have terrible migraines but that went away after 3 months. I bled more the past 5 months than i would in a year not being on bc. I don&#039;t know why i haven&#039;t gotten this taken out of my arm sooner. I get it out in 1 week and will be trying Beyaz or Lolestrin.""",1,13-Oct-15,5
1,78181,144479,Etonogestrel,Birth Control,"""The fact of not having to worry about getting a shot every 3 months or take a pill every day is nice but that&#039;s the only positive thing I have to say about this. I&#039;ve weighed 120-125 pounds for years  and my metabolism has always been decent. I gained 30 pounds while this thing has been in my arm and it has really made me feel awful about myself. Not wanting to be intimate with my boyfriend because I was digusted with myself. My lifestyle didn&#039;t change, the only thing that could have caused the weight gain was the implant. I even tried dieting but even that didn&#039;t help. Now, only 6 months away from getting this horrible thing out of my arm am I finally getting back down to my normal size. I will never get this form of birth control again.""",1,10-Apr-16,3
1,104800,142951,Etonogestrel,Birth Control,"""The implant was inserted about 1 month ago in efforts to alleviate the depression and anxiety I feel the pill caused. I am sad to say it didn&#039;t help. And now, I am emotionally unstable with sadness, and just not caring about ANYTHING. Oh did I mention rapid weight gain with extreme cravings! And no sex drive """,1,15-Jul-17,3
1,22888,158110,Ziprasidone,Bipolar Disorde,"""I am on lexapro, for depression, n buspar, for anxiety. My Dr added 40 mgs of geodon about 3 weeks ago, as a mood stabilizer... Well, it stabilized my mood, but at the most crazy manic level I&#039;ve ever had. I sometimes worry myself into mania, which usually lasts about 3 days. Then I sleep it off, n I&#039;m back to my mostly even keel self. Always anxious n slightly depressed, but functioning in the world... I did start this med in a manic phase, but to help calm me. It did not work. N my Dr is on vaca till next week... I&#039;ve never posted to a forum b4, but I&#039;ve never felt like this b4. I&#039;m hoping for some insight from others. Has anyone else had this reaction? Please help.""",1,28-Jun-16,10
1,44949,2468,Uceris,Ulcerative Colitis,"""Only took 2 days&#039; worth of budesonIde due to onset of excruciating headache, nausea, vomiting.""",1,3-Mar-16,2
1,45251,69027,Medroxyprogesterone,Abnormal Uterine Bleeding,"""Stay away from this medicine I got my first shot on November 11 after a week I start bleeding and I still bleed badly  I. hate this medicine""",1,21-Feb-16,9
